date,pnl,cumulative_pnl,equity,peak,drawdown,drawdown_pct
2017-02-02 00:00:00-05:00,63.50000000000364,63.50000000000364,10063.500000000004,10063.500000000004,0.0,0.0
2017-02-24 00:00:00-05:00,-812.5,-748.9999999999964,9251.000000000004,10063.500000000004,-812.5,-8.073731803050626
2017-02-27 00:00:00-05:00,11.500000000014552,-737.4999999999818,9262.500000000018,10063.500000000004,-800.9999999999854,-7.959457445222687
2017-03-03 00:00:00-05:00,29.500000000007276,-707.9999999999745,9292.000000000025,10063.500000000004,-771.4999999999782,-7.666318875142624
2017-03-17 00:00:00-04:00,-812.5,-1520.4999999999745,8479.500000000025,10063.500000000004,-1583.9999999999782,-15.74005067819325
2017-03-31 00:00:00-04:00,-2.5,-1522.9999999999745,8477.000000000025,10063.500000000004,-1586.4999999999782,-15.764892929894945
2017-05-03 00:00:00-04:00,13.500000000003638,-1509.499999999971,8490.50000000003,10063.500000000004,-1572.9999999999745,-15.630744770705757
2017-05-11 00:00:00-04:00,9.500000000007276,-1499.9999999999636,8500.000000000036,10063.500000000004,-1563.4999999999673,-15.536344214239248
2017-05-30 00:00:00-04:00,-812.5,-2312.4999999999636,7687.500000000036,10063.500000000004,-2375.9999999999673,-23.610076017289874
2017-07-11 00:00:00-04:00,17.5,-2294.9999999999636,7705.000000000036,10063.500000000004,-2358.4999999999673,-23.436180255378012
2017-07-27 00:00:00-04:00,19.500000000007276,-2275.4999999999563,7724.500000000044,10063.500000000004,-2338.99999999996,-23.242410692104727
2017-08-08 00:00:00-04:00,37.5,-2237.9999999999563,7762.000000000044,10063.500000000004,-2301.49999999996,-22.869776916579312
2017-08-15 00:00:00-04:00,-812.5,-3050.4999999999563,6949.500000000044,10063.500000000004,-3113.99999999996,-30.943508719629936
2017-08-18 00:00:00-04:00,27.5,-3022.9999999999563,6977.000000000044,10063.500000000004,-3086.49999999996,-30.670243950911303
2017-09-28 00:00:00-04:00,13.500000000003638,-3009.4999999999527,6990.500000000047,10063.500000000004,-3072.9999999999563,-30.53609579172212
2017-10-04 00:00:00-04:00,17.5,-2991.9999999999527,7008.000000000047,10063.500000000004,-3055.4999999999563,-30.362200029810253
2017-10-11 00:00:00-04:00,-812.5,-3804.4999999999527,6195.500000000047,10063.500000000004,-3867.9999999999563,-38.43593183286088
2017-11-06 00:00:00-05:00,23.500000000003638,-3780.999999999949,6219.000000000051,10063.500000000004,-3844.4999999999527,-38.20241466686492
2017-11-13 00:00:00-05:00,27.5,-3753.499999999949,6246.500000000051,10063.500000000004,-3816.9999999999527,-37.929149898146285
2018-01-02 00:00:00-05:00,105.49999999999272,-3647.9999999999563,6352.000000000044,10063.500000000004,-3711.49999999996,-36.88080687633486
