variant,asia_regime,london_sweep,transition_vs_london,ny_open_vs_london,n,first_high_pct,first_low_pct,sweep_both_pct,fail_pct,median_pen_high,median_pen_low,reliability
Normal|Both|Within|Within,Normal,Both,Within,Within,15,26.67,73.33,20.0,20.0,17.32,31.2,Low
Normal|None|Within|Above,Normal,None,Within,Above,15,100.0,0.0,40.0,40.0,8.55,,Low
Normal|Both|Within|Below,Normal,Both,Within,Below,15,6.67,93.33,6.67,6.67,4.5,67.15,Low
Expanded|Both|Above|Above,Expanded,Both,Above,Above,15,100.0,0.0,26.67,26.67,23.15,,Low
Expanded|Low|Below|Above,Expanded,Low,Below,Above,14,92.86,7.14,35.71,35.71,18.8,2.45,Low
Expanded|Both|Within|Within,Expanded,Both,Within,Within,13,46.15,53.85,15.38,15.38,6.73,22.9,Low
Normal|Both|Below|Below,Normal,Both,Below,Below,13,0.0,100.0,30.77,30.77,,12.25,Low
Normal|Both|Below|Within,Normal,Both,Below,Within,13,38.46,61.54,23.08,23.08,3.7,6.37,Low
Compressed|Both|Below|Within,Compressed,Both,Below,Within,13,15.38,84.62,46.15,46.15,13.92,6.3,Low
Expanded|Both|Below|Below,Expanded,Both,Below,Below,13,0.0,100.0,7.69,7.69,,25.3,Low
Expanded|None|Within|Within,Expanded,None,Within,Within,12,58.33,41.67,58.33,58.33,7.2,2.1,Low
Compressed|Low|Above|Below,Compressed,Low,Above,Below,12,8.33,91.67,33.33,33.33,39.05,23.2,Low
Compressed|Low|Below|Above,Compressed,Low,Below,Above,12,91.67,8.33,33.33,33.33,12.7,116.5,Low
Normal|Low|Below|Above,Normal,Low,Below,Above,11,90.91,9.09,36.36,36.36,31.8,99.9,Low
Compressed|High|Below|Within,Compressed,High,Below,Within,10,30.0,70.0,50.0,50.0,39.95,23.2,Low
Expanded|Low|Above|Below,Expanded,Low,Above,Below,10,10.0,90.0,80.0,80.0,14.3,20.6,Low
Expanded|High|Below|Within,Expanded,High,Below,Within,9,55.56,44.44,44.44,44.44,6.3,14.77,Low
Expanded|None|Below|Below,Expanded,None,Below,Below,9,0.0,100.0,44.44,44.44,,16.85,Low
